GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SolutiJuris,com.solutijuris.model.entity,Prazo,0,3,0,0,0,1,0,1,0,1
SolutiJuris,com.solutijuris.model.entity,BaseEntity,0,18,0,0,0,7,0,3,0,3
SolutiJuris,com.solutijuris.model.entity,LogAuditoria,0,7,0,0,0,3,0,2,0,2
SolutiJuris,com.solutijuris.model.entity,Usuario,0,6,0,0,0,2,0,1,0,1
SolutiJuris,com.solutijuris.model.entity,Processo,0,6,0,0,0,2,0,1,0,1
SolutiJuris,com.solutijuris.model.enums,StatusProcesso,0,39,0,0,0,7,0,1,0,1
SolutiJuris,com.solutijuris.model.enums,AreaDireito,0,93,0,0,0,16,0,1,0,1
SolutiJuris,com.solutijuris.model.enums,PerfilUsuario,0,33,0,0,0,6,0,1,0,1
SolutiJuris,com.solutijuris.model.enums,StatusPrazo,0,33,0,0,0,6,0,1,0,1
SolutiJuris,com.solutijuris.model.enums,Tribunal,0,555,0,0,0,93,0,1,0,1
SolutiJuris,com.solutijuris.config,SecurityConfig,0,99,0,0,0,22,0,10,0,10
SolutiJuris,com.solutijuris.dto,ProcessoRequest,0,36,0,0,0,1,0,1,0,1
SolutiJuris,com.solutijuris.dto,MensagemResponse,0,6,0,0,0,1,0,1,0,1
SolutiJuris,com.solutijuris.dto,PrazoRequest,0,15,0,0,0,1,0,1,0,1
SolutiJuris,com.solutijuris.dto,AuthResponse,0,15,0,0,0,1,0,1,0,1
SolutiJuris,com.solutijuris.dto,RegisterRequest,0,15,0,0,0,1,0,1,0,1
SolutiJuris,com.solutijuris.dto,LoginRequest,0,9,0,0,0,1,0,1,0,1
SolutiJuris,com.solutijuris.service,DashboardService,0,105,0,6,0,17,0,6,0,3
SolutiJuris,com.solutijuris.service,CnjValidator,0,116,1,11,0,20,1,10,0,5
SolutiJuris,com.solutijuris.service,PrazoService,15,161,0,2,0,42,3,8,3,7
SolutiJuris,com.solutijuris.service,ProcessoService,37,129,1,5,5,32,7,4,6,2
SolutiJuris,com.solutijuris.service,DashboardService.DashboardDTO,0,24,0,0,0,1,0,1,0,1
SolutiJuris,com.solutijuris.service,UsuarioService,28,198,4,8,6,44,3,7,0,4
SolutiJuris,com.solutijuris.controller,PrazoController,6,45,0,0,1,11,1,5,1,5
SolutiJuris,com.solutijuris.controller,ProcessoController,0,37,0,0,0,7,0,5,0,5
SolutiJuris,com.solutijuris.controller,DashboardController,0,10,0,0,0,2,0,2,0,2
SolutiJuris,com.solutijuris.controller,AuthController,0,18,0,0,0,4,0,2,0,2
SolutiJuris,com.solutijuris.security,JwtProvider,0,83,0,0,0,32,0,5,0,5
SolutiJuris,com.solutijuris.security,JwtAuthenticationFilter,0,59,2,6,0,13,2,4,0,2
SolutiJuris,com.solutijuris,SolutiJurisApplication,5,3,0,0,2,1,1,1,1,1
SolutiJuris,com.solutijuris.exception,CredenciaisInvalidasException,0,4,0,0,0,2,0,1,0,1
SolutiJuris,com.solutijuris.exception,GlobalExceptionHandler,16,53,0,0,4,12,2,6,2,6
SolutiJuris,com.solutijuris.exception,ResponsavelNaoEncontradoException,4,0,0,0,2,0,1,0,1,0
SolutiJuris,com.solutijuris.exception,ProcessoNaoEncontradoException,0,4,0,0,0,2,0,1,0,1
SolutiJuris,com.solutijuris.exception,ProcessoInvalidoException,0,4,0,0,0,2,0,1,0,1
